ITEM,CAL,FAT,SFAT,TFAT,CHOL,SALT,CARB,FBR,SGR,PRO,CATEGORY
Bacon Clubhouse Burger 9.4 oz (267 g),720,40,15,1.5,120,1470,52,4,14,38,BURGERSANDWICH
Bacon Clubhouse Grilled Chicken Sandwich 9.9 oz (281 g),610,26,9,0,130,1720,50,4,14,44,BURGERSANDWICH
Bacon Clubhouse Crispy Chicken Sandwich 10 oz (284 g),750,38,10,0.5,90,1720,65,4,16,36,BURGERSANDWICH
McChicken ® 5.1 oz (144 g),370,17,3.5,0,40,650,40,2,5,14,BURGERSANDWICH
Buffalo Ranch McChicken 5.2 oz (148 g),370,17,3.5,0,40,850,41,2,5,14,BURGERSANDWICH
Bacon Buffalo Ranch McChicken 5.7 oz (162 g),440,21,5,0,55,1120,41,2,6,20,BURGERSANDWICH
Bacon Cheddar McChicken 6.1 oz (172 g),490,25,7,0,70,1120,43,2,6,22,BURGERSANDWICH
Southern Style Crispy Chicken Sandwich 5.6 oz (160 g),430,19,3,0,45,910,43,2,7,21,BURGERSANDWICH
Filet-O-Fish 5 oz (142 g),390,19,4,0,40,590,39,2,5,15,BURGERSANDWICH
McRib ® 7.3 oz (208 g),500,26,10,0,70,980,44,3,11,22,BURGERSANDWICH
Premium McWrap Southwest Chicken (Crispy) 11.7 oz (331 g),670,32,8,0.5,60,1470,68,5,12,27,BURGERSANDWICH
Premium McWrap Southwest Chicken (Grilled) 11.6 oz (328 g),530,20,6,0.5,100,1470,54,5,10,34,BURGERSANDWICH
Premium McWrap Chicken & Bacon (Crispy) 11.1 oz (316 g),630,32,9,0.5,80,1540,56,3,7,32,BURGERSANDWICH
Premium McWrap Chicken & Bacon (Grilled) 11.1 oz (313 g),490,19,7,0,115,1540,41,3,6,39,BURGERSANDWICH
Premium McWrap Chicken & Ranch (Crispy) 10.9 oz (310 g),610,31,8,0.5,65,1340,56,3,8,27,BURGERSANDWICH
Premium McWrap Chicken & Ranch (Grilled) 10.9 oz (308 g),460,18,6,0.5,100,1340,42,3,6,34,BURGERSANDWICH
Premium McWrap Chicken Sweet Chili (Crispy) 10.7 oz (304 g),540,23,4.5,0,50,1260,61,3,14,23,BURGERSANDWICH
Premium McWrap Chicken Sweet Chili (Grilled) 10.6 oz (302 g),400,10,3,0,85,1260,47,3,12,31,BURGERSANDWICH
Big Mac 7.4 oz (211 g),530,27,10,1,85,960,47,3,9,24,BURGERSANDWICH
Quarter Pounder® with Cheese 7 oz (199 g),520,26,12,1.5,95,1110,42,3,10,29,BURGERSANDWICH
Quarter Pounder Bacon & Cheese 7.7 oz (217 g),600,29,13,1,105,1380,48,3,12,36,BURGERSANDWICH
